Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
94238,-466.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94164,-466.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94093,-459.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
94026,-455.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93961,-457.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93895,-456.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93829,-457.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93761,-462.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93690,-464.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93615,-470.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93540,-465.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93468,-463.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93397,-464.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93325,-463.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93254,-464.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93180,-467.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93107,-464.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
93037,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92967,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92897,-463.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92827,-461.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92759,-456.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92690,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92617,-468.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92542,-464.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92470,-465.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92398,-460.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92329,-460.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92259,-463.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92187,-464.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92114,-466.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
92040,-465.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91968,-463.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91896,-465.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91823,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91753,-459.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91685,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91615,-460.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91547,-457.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91480,-457.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91411,-464.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91336,-470.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91258,-470.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91182,-467.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91107,-466.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
91033,-465.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90959,-465.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90885,-464.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90812,-465.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90740,-460.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90668,-466.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90594,-466.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90517,-470.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90440,-469.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90362,-468.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90286,-467.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90209,-470.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90128,-475.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
90048,-468.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89973,-463.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89900,-465.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89825,-467.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89748,-467.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89672,-467.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89597,-465.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89523,-463.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89450,-466.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89373,-469.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89296,-466.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89221,-464.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89148,-462.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89077,-459.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
89008,-459.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88938,-459.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88866,-463.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88793,-464.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88719,-464.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88644,-464.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88570,-464.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88495,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88420,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88345,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88271,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88196,-465.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88122,-462.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
88049,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
87978,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
87907,-459.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
87837,-458.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
