Age,state,smoothing,residuals,variance,ac1,standard_deviation,Record,Period,tsid
782,11,22,-11,91.3997175141243,-0.044719984109254936,9.560319948313671,construction_activity_PI,PI,1
783,21,22,-1,90.86412429378531,-0.04782435473848084,9.532267531588971,construction_activity_PI,PI,1
784,20,22,-2,90.18389830508475,-0.04031118061591799,9.49652032615551,construction_activity_PI,PI,1
785,19,22,-3,90.02372881355933,-0.03623950479235342,9.488083516367219,construction_activity_PI,PI,1
786,43,21,22,97.35903954802262,-0.05049954562879254,9.867068437384157,construction_activity_PI,PI,1
787,23,21,2,97.2768361581921,-0.04431380263045327,9.862902015035539,construction_activity_PI,PI,1
788,25,21,4,97.0271186440678,-0.07344280164785348,9.85023444614735,construction_activity_PI,PI,1
789,13,21,-8,84.12429378531074,-0.10954602926013408,9.171929665305482,construction_activity_PI,PI,1
790,17,21,-4,84.15225988700567,-0.09764313091103886,9.173454087038627,construction_activity_PI,PI,1
791,13,21,-8,85.16497175141245,-0.09013898252066234,9.228486969780715,construction_activity_PI,PI,1
792,15,21,-6,85.82457627118644,-0.07844671250188828,9.264155453746794,construction_activity_PI,PI,1
793,19,21,-2,85.91497175141245,-0.0751574178453925,9.269032945858616,construction_activity_PI,PI,1
794,15,21,-6,86.57937853107346,-0.07234491407561175,9.304804056565267,construction_activity_PI,PI,1
795,11,22,-11,88.39661016949155,-0.05533342229642789,9.401947147771654,construction_activity_PI,PI,1
796,13,22,-9,89.6169491525424,-0.034640935820872396,9.466622901148138,construction_activity_PI,PI,1
797,8,22,-14,92.83022598870059,-0.011580408810570238,9.634844367642925,construction_activity_PI,PI,1
798,19,22,-3,92.57937853107346,-0.006842206658256308,9.621817839216947,construction_activity_PI,PI,1
799,36,22,14,95.83050847457629,-0.01418395227425429,9.789305821894436,construction_activity_PI,PI,1
800,22,22,0,95.81327683615821,-0.015305121463439948,9.788425656670137,construction_activity_PI,PI,1
801,26,22,4,95.21355932203392,-0.025952615188176993,9.757743556890288,construction_activity_PI,PI,1
802,28,22,6,94.58870056497177,-0.010856817547826742,9.725672242316815,construction_activity_PI,PI,1
803,37,22,15,97.20084745762713,0.012860995269146625,9.859049013856618,construction_activity_PI,PI,1
804,40,22,18,101.4720338983051,0.055332199768314376,10.07333280986512,construction_activity_PI,PI,1
805,33,22,11,103.15564971751415,0.08211895694091975,10.156556981453614,construction_activity_PI,PI,1
806,29,23,6,103.08785310734467,0.09166673781793855,10.153218854498542,construction_activity_PI,PI,1
807,25,23,2,102.97033898305088,0.09370133919738016,10.147430166453518,construction_activity_PI,PI,1
808,25,23,2,102.79632768361586,0.09423821847593387,10.138852384940607,construction_activity_PI,PI,1
809,9,23,-14,106.69237288135596,0.09138193700114033,10.329200011683188,construction_activity_PI,PI,1
810,21,23,-2,106.5717514124294,0.09295925783240996,10.323359502237118,construction_activity_PI,PI,1
811,16,23,-7,106.82796610169494,0.09118068817912468,10.335761515326045,construction_activity_PI,PI,1
812,14,23,-9,108.10056497175142,0.10228560616868895,10.397142154060962,construction_activity_PI,PI,1
813,34,23,11,109.75677966101698,0.08475211813322212,10.47648699044756,construction_activity_PI,PI,1
814,27,23,4,109.71610169491527,0.08639578134146995,10.474545417101178,construction_activity_PI,PI,1
815,19,24,-5,110.07090395480228,0.07902537061023557,10.491468150587995,construction_activity_PI,PI,1
816,33,24,9,110.15141242937855,0.06108777916299604,10.49530430380075,construction_activity_PI,PI,1
817,17,24,-7,109.84717514124296,0.04565477255445834,10.480800310150125,construction_activity_PI,PI,1
818,9,24,-15,114.1988700564972,0.08389045188243838,10.686387137685832,construction_activity_PI,PI,1
819,10,25,-15,106.96158192090398,0.09140969908368278,10.342223258125111,construction_activity_PI,PI,1
820,25,25,0,105.73870056497177,0.0903817573800797,10.282932488593502,construction_activity_PI,PI,1
821,24,25,-1,105.76581920903956,0.09102221913510336,10.284251028103094,construction_activity_PI,PI,1
822,31,26,5,105.77853107344635,0.10410041070985468,10.28486903530844,construction_activity_PI,PI,1
823,9,26,-17,106.06666666666668,0.11359820600872003,10.298867251628534,construction_activity_PI,PI,1
824,13,26,-13,107.83361581920906,0.15233229321392222,10.384296597228387,construction_activity_PI,PI,1
825,16,27,-11,109.32514124293787,0.16512168819450768,10.455866355445535,construction_activity_PI,PI,1
826,28,27,1,108.15254237288137,0.16001849371851284,10.399641454054143,construction_activity_PI,PI,1
827,39,28,11,110.32768361581923,0.1606037280193389,10.503698568400525,construction_activity_PI,PI,1
828,60,28,32,127.70056497175142,0.19961068319225916,11.300467466956906,construction_activity_PI,PI,1
829,36,29,7,128.42796610169492,0.21313456299455663,11.332606324305761,construction_activity_PI,PI,1
830,18,29,-11,130.27118644067798,0.2045584806659206,11.413640367589911,construction_activity_PI,PI,1
831,29,30,-1,129.67090395480227,0.20336466778612258,11.38731328956933,construction_activity_PI,PI,1
832,40,30,10,131.22344632768363,0.20019078783978458,11.455280281498293,construction_activity_PI,PI,1
833,37,31,6,131.67090395480227,0.2046622290337341,11.474794288125704,construction_activity_PI,PI,1
834,34,32,2,131.3725988700565,0.22015516228175305,11.461788641833197,construction_activity_PI,PI,1
835,27,32,-5,126.5581920903955,0.20317231599749308,11.249808535721641,construction_activity_PI,PI,1
836,26,33,-7,126.01581920903956,0.2231110729416418,11.225676781782004,construction_activity_PI,PI,1
837,15,33,-18,129.41101694915255,0.2349390701072005,11.375896314099938,construction_activity_PI,PI,1
838,33,33,0,129.40225988700567,0.23097159676492215,11.375511412108278,construction_activity_PI,PI,1
839,30,34,-4,126.40225988700567,0.35411875694893674,11.242875961559198,construction_activity_PI,PI,1
840,12,34,-22,104.85056497175142,0.38772949349717545,10.239656486999523,construction_activity_PI,PI,1
841,39,35,4,105.21581920903957,0.3619420240450012,10.257476259248158,construction_activity_PI,PI,1
842,63,35,28,117.43361581920907,0.3634872859909837,10.836679187795912,construction_activity_PI,PI,1
843,73,35,38,142.0124293785311,0.45354167301216297,11.916896801539027,construction_activity_PI,PI,1
844,41,36,5,142.2991525423729,0.43269056554266155,11.928920845674721,construction_activity_PI,PI,1
845,53,36,17,146.69463276836163,0.4555101304695304,12.111755973778601,construction_activity_PI,PI,1
846,64,36,28,151.6302259887006,0.4906831873807353,12.313822557950907,construction_activity_PI,PI,1
847,28,37,-9,153.19322033898308,0.437434051427529,12.377124881772144,construction_activity_PI,PI,1
848,35,37,-2,153.10169491525426,0.44305348894550195,12.373426967305955,construction_activity_PI,PI,1
849,17,37,-20,158.95932203389833,0.4366739533482241,12.60790712346416,construction_activity_PI,PI,1
850,27,37,-10,160.4338983050848,0.44501219902571454,12.66625036485087,construction_activity_PI,PI,1
