Age,SD_probability_mean,SD_probability_error
-12.472152,0.999999997063144,4.333711982066447e-12
-12.448101,0.9999999970719968,4.321060874886015e-12
-12.424051,0.9999999964968804,5.140711590028462e-12
-12.4,0.9999999953932855,6.701820511515626e-12
-12.375949,0.9999999971633045,4.1904708567291095e-12
-12.351899,0.9999999972004427,4.137316997059142e-12
-12.327848,0.9999999972341324,4.089080724683983e-12
-12.303797,0.9999999972418344,4.078049023387167e-12
-12.279747,0.9999999972098154,4.123898302093563e-12
-12.255696,0.9999999972155988,4.115620685485029e-12
-12.231646,0.999999996677186,4.884247650231988e-12
-12.207595,0.9999999956736852,6.3064662751906855e-12
-12.183544,0.9999999934258048,9.455978608098722e-12
-12.159494,0.9999999941587774,8.43363558368253e-12
-12.135443,0.9999999951239812,7.080788801065496e-12
-12.111392,0.9999999945575736,7.875639348784338e-12
-12.087342,0.9999999947202072,7.647705862813418e-12
-12.063291,0.9999999739840116,3.5768608973596163e-11
-12.039241,0.999999981876441,2.5219484423937425e-11
-12.01519,0.99999998363582,2.284831665360065e-11
-11.991139,0.9999999958585958,6.045294549311107e-12
-11.967089,0.9999999963725796,5.317263736941248e-12
-11.943038,0.9999999963727074,5.317082349875443e-12
-11.918987,0.9999999959240704,5.952723244291286e-12
-11.894937,0.9999999943615429,8.150085793807529e-12
-11.870886,0.9999999941769898,8.408178512080899e-12
-11.846835,0.9999999945842368,7.838288401222707e-12
-11.822785,0.9999999958707888,6.0280581887952685e-12
-11.798734,0.9999999938842696,8.816983881599442e-12
-11.774684,0.9999999932718568,9.670213544856077e-12
-11.750633,0.9999999951612852,7.028336894857874e-12
-11.726582,0.9999999928112804,1.031018852988892e-11
-11.702532,0.9999999962590718,5.478315937113911e-12
-11.678481,0.9999999968491252,4.639261625156234e-12
-11.65443,0.9999999963734062,5.316090671340871e-12
-11.63038,0.9999999971145112,4.260273182460093e-12
-11.606329,0.9999999970336884,4.3758078215465965e-12
-11.582278,0.9999999969675478,4.470278738642784e-12
-11.558228,0.9999999970973136,4.284863453328474e-12
-11.534177,0.9999999966276456,4.9547609362465196e-12
-11.510127,0.999999996889016,4.582365274242592e-12
-11.486076,0.9999999969560324,4.486720931240144e-12
-11.462025,0.9999999967291414,4.810266406360976e-12
-11.437975,0.9999999971242106,4.246400183372512e-12
-11.413924,0.999999996943458,4.50467226784669e-12
-11.389873,0.9999999967634104,4.761447275037851e-12
-11.365823,0.9999999968137112,4.68975783677502e-12
-11.341772,0.9999999897131862,1.458323970135288e-11
-11.317722,0.9999999961794328,5.591215301470732e-12
-11.293671,0.9999999956675784,6.315085198010733e-12
-11.26962,0.999999996284463,5.442302370757857e-12
-11.24557,0.9999999968478364,4.641100218505603e-12
-11.221519,0.999999992670636,1.0505338942773975e-11
-11.197468,0.999999992876114,1.0220186770567125e-11
-11.173418,0.9999999936384878,9.159738331546806e-12
-11.149367,0.9999999952725848,6.871759213500074e-12
-11.125316,0.9999999961763288,5.5956144511703365e-12
-11.101266,0.9999999955977856,6.4135601258219635e-12
-11.077215,0.9999999916159228,1.1964999863144014e-11
-11.053165,0.9999999916615387,1.1902004357477227e-11
-11.029114,0.9999999943679432,8.141132407318542e-12
-11.005063,0.9999999951364718,7.063225879593381e-12
-10.981013,0.9999999960234198,5.8121682739144556e-12
-10.956962,0.9999999944746372,7.991793101964959e-12
-10.932911,0.9999999905665782,1.3411144130559462e-11
-10.908861,0.9999999920468274,1.1369440382939664e-11
-10.88481,0.999999989851292,1.4393787871729439e-11
-10.860759,0.9999999941810834,8.402459829906203e-12
-10.836709,0.9999999962396728,5.505824995256149e-12
-10.812658,0.999999996773846,4.746577649764581e-12
-10.788608,0.9999999972079716,4.1265369408841455e-12
-10.764557,0.9999999972149765,4.1165098821485604e-12
-10.740506,0.999999997225296,4.101735085091604e-12
-10.716456,0.999999997239598,4.081254670209339e-12
-10.692405,0.9999999971978104,4.141085355862153e-12
-10.668354,0.9999999971355492,4.230181533389714e-12
-10.644304,0.9999999971625276,4.191583649623574e-12
-10.620253,0.9999999969895716,4.438830618150802e-12
-10.596203,0.9999999969302202,4.523568893698827e-12
-10.572152,0.9999999969999346,4.424029071688277e-12
-10.548101,0.999999997148962,4.21099119178066e-12
-10.524051,0.9999999970937198,4.290004638731958e-12
-10.5,0.999999997109135,4.2679601570721854e-12
-90.818947,1.5449629900934606e-07,1.0152084825227264e-10
-90.785263,1.584598632498165e-07,1.0391200325960002e-10
-90.751579,1.9876703549357157e-07,1.279525711123234e-10
-90.717895,2.217300665450667e-07,1.4144987718839079e-10
-90.684211,2.858501664472277e-07,1.7851378934511236e-10
-90.650526,3.1733987696272106e-07,1.9642833809493391e-10
-90.616842,3.814034349881015e-07,2.3238617735586752e-10
-90.583158,4.188007820680321e-07,2.5311080766481005e-10
-90.549474,4.65959072253964e-07,2.7899891258204927e-10
-90.515789,4.921126067137394e-07,2.932477274839977e-10
-90.482105,6.46273703294099e-07,3.758848168593886e-10
-90.448421,6.248051802690414e-07,3.645023872883631e-10
-90.414737,7.205708100620484e-07,4.1500002188348695e-10
-90.381053,7.677328676803554e-07,4.3962194988468805e-10
-90.347368,9.023421591153974e-07,5.091069427790964e-10
