Beat number,state,tsid,type
84,1.285899996757507,19,pd
85,1.1039999723434448,19,pd
86,1.785599946975708,19,pd
87,1.0884000062942505,19,pd
88,1.7834999561309814,19,pd
89,1.0543999671936035,19,pd
90,1.8202999830245967,19,pd
91,1.1654000282287598,19,pd
92,1.7003999948501587,19,pd
93,1.080899953842163,19,pd
94,1.764899969100952,19,pd
95,0.988730013370514,19,pd
96,1.837399959564209,19,pd
97,1.2961000204086304,19,pd
98,1.5580999851226809,19,pd
0,1.6263999938964844,20,pd
1,1.6526999473571775,20,pd
2,1.605299949645996,20,pd
3,1.6757999658584597,20,pd
4,1.6231000423431396,20,pd
5,1.6413999795913696,20,pd
6,1.598399996757507,20,pd
7,1.6775000095367432,20,pd
8,1.6480000019073486,20,pd
9,1.6492999792099,20,pd
10,1.642899990081787,20,pd
11,1.6413999795913696,20,pd
12,1.676300048828125,20,pd
13,1.5996999740600586,20,pd
14,1.6678999662399292,20,pd
15,1.662500023841858,20,pd
16,1.684499979019165,20,pd
17,1.6268999576568604,20,pd
18,1.607200026512146,20,pd
19,1.6269999742507937,20,pd
20,1.6337000131607056,20,pd
21,1.605299949645996,20,pd
22,1.6237000226974487,20,pd
23,1.6619000434875488,20,pd
24,1.5598000288009644,20,pd
25,1.669100046157837,20,pd
26,1.6341999769210815,20,pd
27,1.598399996757507,20,pd
28,1.6514999866485596,20,pd
29,1.5740000009536743,20,pd
30,1.5972000360488892,20,pd
31,1.5573999881744385,20,pd
32,1.604300022125244,20,pd
33,1.5817999839782717,20,pd
34,1.579200029373169,20,pd
35,1.6055999994277954,20,pd
36,1.5526000261306765,20,pd
37,1.6044000387191772,20,pd
38,1.551200032234192,20,pd
39,1.632099986076355,20,pd
40,1.5533000230789185,20,pd
41,1.5611000061035156,20,pd
42,1.5546000003814695,20,pd
43,1.5911999940872192,20,pd
44,1.5592999458312988,20,pd
45,1.5054999589920044,20,pd
46,1.579200029373169,20,pd
47,1.492300033569336,20,pd
48,1.632200002670288,20,pd
49,1.388100028038025,20,pd
50,1.5913000106811523,20,pd
51,1.5140000581741333,20,pd
52,1.4889999628067017,20,pd
53,1.5255999565124512,20,pd
54,1.5592999458312988,20,pd
55,1.4627000093460083,20,pd
56,1.5351999998092651,20,pd
57,1.4164999723434448,20,pd
58,1.5662000179290771,20,pd
59,1.500499963760376,20,pd
60,1.4744000434875488,20,pd
61,1.5786999464035034,20,pd
62,1.517300009727478,20,pd
63,1.4413000345230105,20,pd
64,1.6085000038146973,20,pd
65,1.4078999757766724,20,pd
66,1.575600028038025,20,pd
67,1.4469000101089478,20,pd
68,1.5622999668121338,20,pd
69,1.3904000520706177,20,pd
70,1.6032999753952026,20,pd
71,1.3833999633789062,20,pd
72,1.6586999893188477,20,pd
73,1.2776000499725342,20,pd
74,1.764799952507019,20,pd
75,1.2891000509262085,20,pd
76,1.726699948310852,20,pd
77,1.1920000314712524,20,pd
78,1.7757999897003174,20,pd
79,1.17739999294281,20,pd
80,1.7847000360488892,20,pd
81,1.2984999418258667,20,pd
82,1.7458000183105469,20,pd
83,1.3842999935150146,20,pd
84,1.6247999668121338,20,pd
85,1.4000999927520752,20,pd
86,1.6324000358581543,20,pd
87,1.3595000505447388,20,pd
88,1.6207000017166138,20,pd
89,1.2726000547409058,20,pd
90,1.6835999488830566,20,pd
91,1.4142999649047852,20,pd
92,1.5937999486923218,20,pd
93,1.4990999698638916,20,pd
94,1.5706000328063965,20,pd
95,1.479300022125244,20,pd
96,1.6409000158309937,20,pd
97,1.5081000328063965,20,pd
98,1.5951000452041626,20,pd
99,1.5436999797821045,20,pd
100,1.6029000282287598,20,pd
101,1.520900011062622,20,pd
102,1.6540000438690186,20,pd
103,1.4474999904632568,20,pd
104,1.725600004196167,20,pd
105,1.457900047302246,20,pd
106,1.7690999507904053,20,pd
107,1.4328999519348145,20,pd
108,1.7603000402450562,20,pd
109,1.590399980545044,20,pd
110,1.6346999406814575,20,pd
111,1.6064000129699707,20,pd
112,1.631100058555603,20,pd
113,1.6720000505447388,20,pd
114,1.491199970245361,20,pd
115,1.7059999704360962,20,pd
116,1.47599995136261,20,pd
117,1.7664999961853027,20,pd
118,1.468999981880188,20,pd
119,1.7202999591827393,20,pd
120,1.491199970245361,20,pd
121,1.7202999591827393,20,pd
122,1.4599000215530396,20,pd
123,1.7062000036239624,20,pd
124,1.440000057220459,20,pd
125,1.7542999982833862,20,pd
126,1.3566999435424805,20,pd
127,1.7997000217437744,20,pd
128,1.401600003242493,20,pd
129,1.81470000743866,20,pd
130,1.3912999629974363,20,pd
0,1.6958999633789062,21,pd
1,1.6972999572753906,21,pd
2,1.7028000354766846,21,pd
3,1.7431999444961548,21,pd
4,1.66729998588562,21,pd
5,1.7369999885559082,21,pd
6,1.6763999462127686,21,pd
7,1.720900058746338,21,pd
8,1.7130000591278076,21,pd
9,1.7240999937057495,21,pd
10,1.6513999700546265,21,pd
11,1.7373000383377075,21,pd
12,1.639299988746643,21,pd
13,1.7421000003814695,21,pd
14,1.673200011253357,21,pd
15,1.7064000368118286,21,pd
16,1.6407999992370603,21,pd
17,1.7598999738693235,21,pd
18,1.6155999898910522,21,pd
19,1.7711000442504885,21,pd
20,1.594599962234497,21,pd
21,1.7893999814987185,21,pd
22,1.5642999410629272,21,pd
23,1.7659000158309937,21,pd
24,1.6842999458312988,21,pd
25,1.5570000410079956,21,pd
26,1.7441999912261963,21,pd
27,1.5347000360488892,21,pd
28,1.7910000085830688,21,pd
29,1.6059999465942385,21,pd
30,1.7063000202178955,21,pd
31,1.641700029373169,21,pd
32,1.6777000427246094,21,pd
33,1.669600009918213,21,pd
34,1.633800029754639,21,pd
35,1.7343000173568726,21,pd
36,1.5420000553131104,21,pd
37,1.7757999897003174,21,pd
38,1.5930999517440796,21,pd
39,1.6842999458312988,21,pd
40,1.723099946975708,21,pd
41,1.6058000326156616,21,pd
42,1.7325999736785889,21,pd
43,1.6739000082015991,21,pd
44,1.658900022506714,21,pd
45,1.6801999807357788,21,pd
46,1.6311999559402466,21,pd
47,1.7235000133514404,21,pd
48,1.622599959373474,21,pd
49,1.7487000226974487,21,pd
50,1.6763999462127686,21,pd
51,1.70770001411438,21,pd
52,1.6970000267028809,21,pd
53,1.6360000371932983,21,pd
54,1.727300047874451,21,pd
55,1.693600058555603,21,pd
56,1.7311999797821045,21,pd
57,1.6136000156402588,21,pd
58,1.729599952697754,21,pd
59,1.5843000411987305,21,pd
60,1.7838000059127808,21,pd
61,1.569200038909912,21,pd
62,1.7582000494003296,21,pd
63,1.6526000499725342,21,pd
64,1.7039999961853027,21,pd
65,1.732200026512146,21,pd
66,1.6470999717712402,21,pd
67,1.7798999547958374,21,pd
68,1.5824999809265137,21,pd
69,1.785599946975708,21,pd
70,1.6569000482559204,21,pd
71,1.684999942779541,21,pd
72,1.633999943733215,21,pd
73,1.7121000289916992,21,pd
0,1.2311999797821045,22,pd
1,1.2005000114440918,22,pd
2,1.2401000261306765,22,pd
3,1.2015999555587769,22,pd
4,1.2020000219345093,22,pd
5,1.1757999658584597,22,pd
6,1.3282999992370603,22,pd
7,1.2723000049591064,22,pd
8,1.2266000509262085,22,pd
9,1.2971999645233154,22,pd
10,1.1988999843597412,22,pd
11,1.2030999660491943,22,pd
12,1.309000015258789,22,pd
13,1.2102999687194824,22,pd
14,1.205399990081787,22,pd
15,1.2252999544143677,22,pd
16,1.0786999464035034,22,pd
17,1.2928999662399292,22,pd
18,1.1720000505447388,22,pd
19,1.1401000022888184,22,pd
20,1.210199952125549,22,pd
21,1.0947999954223633,22,pd
22,1.191499948501587,22,pd
23,1.097599983215332,22,pd
24,1.1979000568389893,22,pd
25,1.0952999591827393,22,pd
26,1.2404999732971191,22,pd
27,0.9802700281143188,22,pd
28,1.332200050354004,22,pd
29,0.9868999719619752,22,pd
30,1.3049999475479126,22,pd
31,1.0770000219345093,22,pd
32,1.189900040626526,22,pd
33,1.1302000284194946,22,pd
34,1.2264000177383425,22,pd
35,1.1057000160217283,22,pd
36,1.2746000289916992,22,pd
37,1.1492999792099,22,pd
38,1.1851999759674072,22,pd
39,1.176900029182434,22,pd
40,1.2594000101089478,22,pd
41,1.1579999923706057,22,pd
42,1.305299997329712,22,pd
43,1.2848999500274658,22,pd
44,1.1927000284194946,22,pd
45,1.2587000131607056,22,pd
46,1.1562999486923218,22,pd
47,1.2384999990463257,22,pd
48,1.2404999732971191,22,pd
49,1.2073999643325806,22,pd
50,1.1548000574111938,22,pd
51,1.2403000593185425,22,pd
52,1.1126999855041504,22,pd
53,1.218999981880188,22,pd
54,1.1543999910354614,22,pd
55,1.223399996757507,22,pd
56,1.2069000005722046,22,pd
57,1.1438000202178955,22,pd
58,1.1712000370025637,22,pd
59,1.2201000452041626,22,pd
60,1.0500999689102173,22,pd
61,1.2552000284194946,22,pd
62,1.1334999799728394,22,pd
63,1.281599998474121,22,pd
64,1.1821999549865725,22,pd
65,1.2034000158309937,22,pd
66,1.2273999452590942,22,pd
67,1.2337000370025637,22,pd
68,1.1619000434875488,22,pd
69,1.180899977684021,22,pd
70,1.1706000566482544,22,pd
71,1.1607999801635742,22,pd
72,1.2030999660491943,22,pd
73,1.0155999660491943,22,pd
74,1.3285000324249268,22,pd
75,0.9387800097465516,22,pd
76,1.3257999420166016,22,pd
77,1.003000020980835,22,pd
78,1.277999997138977,22,pd
79,1.0918999910354614,22,pd
80,1.291100025177002,22,pd
81,1.1363999843597412,22,pd
