Age,tree_felling,Record,Transition_start,Transition_end,Period,tsid
864,35,construction_activity_PI,871,873,PI,1
865,60,construction_activity_PI,871,873,PI,1
866,58,construction_activity_PI,871,873,PI,1
867,17,construction_activity_PI,871,873,PI,1
868,14,construction_activity_PI,871,873,PI,1
869,24,construction_activity_PI,871,873,PI,1
870,18,construction_activity_PI,871,873,PI,1
871,42,construction_activity_PI,871,873,PI,1
872,65,construction_activity_PI,871,873,PI,1
873,41,construction_activity_PI,871,873,PI,1
873,41,construction_activity_PII,1118,1157,PII,2
874,29,construction_activity_PII,1118,1157,PII,2
875,37,construction_activity_PII,1118,1157,PII,2
876,32,construction_activity_PII,1118,1157,PII,2
877,28,construction_activity_PII,1118,1157,PII,2
878,12,construction_activity_PII,1118,1157,PII,2
879,9,construction_activity_PII,1118,1157,PII,2
880,9,construction_activity_PII,1118,1157,PII,2
881,33,construction_activity_PII,1118,1157,PII,2
882,18,construction_activity_PII,1118,1157,PII,2
883,13,construction_activity_PII,1118,1157,PII,2
884,9,construction_activity_PII,1118,1157,PII,2
885,20,construction_activity_PII,1118,1157,PII,2
886,20,construction_activity_PII,1118,1157,PII,2
887,13,construction_activity_PII,1118,1157,PII,2
888,11,construction_activity_PII,1118,1157,PII,2
889,18,construction_activity_PII,1118,1157,PII,2
890,25,construction_activity_PII,1118,1157,PII,2
891,29,construction_activity_PII,1118,1157,PII,2
892,20,construction_activity_PII,1118,1157,PII,2
893,31,construction_activity_PII,1118,1157,PII,2
894,9,construction_activity_PII,1118,1157,PII,2
895,11,construction_activity_PII,1118,1157,PII,2
896,9,construction_activity_PII,1118,1157,PII,2
897,27,construction_activity_PII,1118,1157,PII,2
898,35,construction_activity_PII,1118,1157,PII,2
899,30,construction_activity_PII,1118,1157,PII,2
900,7,construction_activity_PII,1118,1157,PII,2
901,5,construction_activity_PII,1118,1157,PII,2
902,8,construction_activity_PII,1118,1157,PII,2
903,5,construction_activity_PII,1118,1157,PII,2
904,6,construction_activity_PII,1118,1157,PII,2
905,17,construction_activity_PII,1118,1157,PII,2
906,6,construction_activity_PII,1118,1157,PII,2
907,4,construction_activity_PII,1118,1157,PII,2
908,7,construction_activity_PII,1118,1157,PII,2
909,12,construction_activity_PII,1118,1157,PII,2
910,11,construction_activity_PII,1118,1157,PII,2
911,15,construction_activity_PII,1118,1157,PII,2
912,5,construction_activity_PII,1118,1157,PII,2
913,7,construction_activity_PII,1118,1157,PII,2
914,10,construction_activity_PII,1118,1157,PII,2
915,12,construction_activity_PII,1118,1157,PII,2
916,13,construction_activity_PII,1118,1157,PII,2
917,16,construction_activity_PII,1118,1157,PII,2
918,15,construction_activity_PII,1118,1157,PII,2
919,52,construction_activity_PII,1118,1157,PII,2
920,8,construction_activity_PII,1118,1157,PII,2
921,8,construction_activity_PII,1118,1157,PII,2
922,2,construction_activity_PII,1118,1157,PII,2
923,8,construction_activity_PII,1118,1157,PII,2
924,5,construction_activity_PII,1118,1157,PII,2
925,18,construction_activity_PII,1118,1157,PII,2
926,14,construction_activity_PII,1118,1157,PII,2
927,12,construction_activity_PII,1118,1157,PII,2
928,32,construction_activity_PII,1118,1157,PII,2
929,8,construction_activity_PII,1118,1157,PII,2
930,7,construction_activity_PII,1118,1157,PII,2
931,11,construction_activity_PII,1118,1157,PII,2
932,24,construction_activity_PII,1118,1157,PII,2
933,21,construction_activity_PII,1118,1157,PII,2
934,20,construction_activity_PII,1118,1157,PII,2
935,19,construction_activity_PII,1118,1157,PII,2
936,16,construction_activity_PII,1118,1157,PII,2
937,9,construction_activity_PII,1118,1157,PII,2
938,17,construction_activity_PII,1118,1157,PII,2
939,7,construction_activity_PII,1118,1157,PII,2
940,12,construction_activity_PII,1118,1157,PII,2
941,17,construction_activity_PII,1118,1157,PII,2
942,23,construction_activity_PII,1118,1157,PII,2
943,19,construction_activity_PII,1118,1157,PII,2
944,11,construction_activity_PII,1118,1157,PII,2
945,18,construction_activity_PII,1118,1157,PII,2
946,24,construction_activity_PII,1118,1157,PII,2
947,40,construction_activity_PII,1118,1157,PII,2
948,22,construction_activity_PII,1118,1157,PII,2
949,52,construction_activity_PII,1118,1157,PII,2
950,20,construction_activity_PII,1118,1157,PII,2
951,8,construction_activity_PII,1118,1157,PII,2
952,17,construction_activity_PII,1118,1157,PII,2
953,10,construction_activity_PII,1118,1157,PII,2
954,6,construction_activity_PII,1118,1157,PII,2
955,12,construction_activity_PII,1118,1157,PII,2
956,19,construction_activity_PII,1118,1157,PII,2
957,14,construction_activity_PII,1118,1157,PII,2
958,18,construction_activity_PII,1118,1157,PII,2
959,25,construction_activity_PII,1118,1157,PII,2
960,29,construction_activity_PII,1118,1157,PII,2
961,12,construction_activity_PII,1118,1157,PII,2
962,16,construction_activity_PII,1118,1157,PII,2
963,30,construction_activity_PII,1118,1157,PII,2
964,30,construction_activity_PII,1118,1157,PII,2
965,11,construction_activity_PII,1118,1157,PII,2
966,31,construction_activity_PII,1118,1157,PII,2
967,28,construction_activity_PII,1118,1157,PII,2
968,17,construction_activity_PII,1118,1157,PII,2
969,19,construction_activity_PII,1118,1157,PII,2
970,19,construction_activity_PII,1118,1157,PII,2
971,15,construction_activity_PII,1118,1157,PII,2
972,17,construction_activity_PII,1118,1157,PII,2
973,27,construction_activity_PII,1118,1157,PII,2
974,28,construction_activity_PII,1118,1157,PII,2
975,16,construction_activity_PII,1118,1157,PII,2
976,14,construction_activity_PII,1118,1157,PII,2
977,37,construction_activity_PII,1118,1157,PII,2
978,20,construction_activity_PII,1118,1157,PII,2
979,19,construction_activity_PII,1118,1157,PII,2
980,9,construction_activity_PII,1118,1157,PII,2
981,7,construction_activity_PII,1118,1157,PII,2
982,13,construction_activity_PII,1118,1157,PII,2
983,21,construction_activity_PII,1118,1157,PII,2
984,17,construction_activity_PII,1118,1157,PII,2
985,23,construction_activity_PII,1118,1157,PII,2
986,35,construction_activity_PII,1118,1157,PII,2
987,35,construction_activity_PII,1118,1157,PII,2
988,46,construction_activity_PII,1118,1157,PII,2
989,45,construction_activity_PII,1118,1157,PII,2
990,23,construction_activity_PII,1118,1157,PII,2
991,16,construction_activity_PII,1118,1157,PII,2
992,25,construction_activity_PII,1118,1157,PII,2
993,19,construction_activity_PII,1118,1157,PII,2
994,15,construction_activity_PII,1118,1157,PII,2
995,15,construction_activity_PII,1118,1157,PII,2
996,39,construction_activity_PII,1118,1157,PII,2
997,24,construction_activity_PII,1118,1157,PII,2
998,30,construction_activity_PII,1118,1157,PII,2
999,19,construction_activity_PII,1118,1157,PII,2
1000,29,construction_activity_PII,1118,1157,PII,2
1001,18,construction_activity_PII,1118,1157,PII,2
1002,16,construction_activity_PII,1118,1157,PII,2
1003,25,construction_activity_PII,1118,1157,PII,2
1004,60,construction_activity_PII,1118,1157,PII,2
1005,29,construction_activity_PII,1118,1157,PII,2
