Age,Proxy,X_axis_label,Y_axis_label,Record,Transition_start,Transition_end,tsid_new
-9.14765,10.09632248070388,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.15263,16.112346773929524,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.15761,13.049503488831675,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.16256,21.830877387831205,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.16748,15.556817923507214,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.1724,14.4560077563991,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.17732,12.523081427426428,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.18224,13.116599787319709,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.18722,13.64291005729119,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.19226,9.457786667939503,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.1973,13.904124217577497,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.20234,15.475517407183675,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.20738,12.82773482073812,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.21239,13.140977184434965,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.21737,18.01991487296509,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.22235,22.69160579939689,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.22733,13.34034537646554,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.23231,13.333089860453182,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.23729,18.93119553906892,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.24227,16.43817808717384,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.24725,21.63758369114163,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.25223,11.001547355882732,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.25721,14.877845113149837,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.26223,21.165874276855615,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.26729,16.24217635560552,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.27235,11.706892642191251,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.27741,9.88298664976418,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.28247,11.66505366019681,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.28747,14.523695503813284,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.29241,13.926491577906909,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.29735,14.755147944132666,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.30229,10.40321023488186,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.30723,18.5861942705202,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.31218,9.713406451225609,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.31714,12.121228389082509,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.3221,17.808030089639775,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.32706,12.628206194229898,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.33202,13.304085881438542,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.33703,10.74825749444279,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.34209,15.308757592103722,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.34715,16.930503841384603,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.35221,14.422856246881434,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.35727,12.533972075201133,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.36238,12.75325191222738,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.36754,11.719730289539571,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.3727,9.387898592551863,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.37786,15.346575678621305,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.38302,9.038015170123703,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.38821,13.456241754088976,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.39343,11.068529995410694,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.39865,10.09603524232478,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.40387,13.715997423240063,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.40909,9.11827039325453,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.41428,8.222828189557582,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.41944,12.54016615681326,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.4246,10.665758818994403,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.42976,11.409966746552737,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.43492,10.629241764072884,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.44007,19.045477730817527,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.44521,9.201295611841507,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.45035,13.680867471314452,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.45549,10.343691927388148,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.46063,12.820456860618371,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.46577,10.658905082743736,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.47091,9.861664770418251,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.47605,9.932888650822203,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.48119,11.382447173369746,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.48633,10.423004798023216,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.4915,6.1356370727667855,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.4967,4.355459146334125,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.5019,8.67553918314898,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-9.5071,7.900565608949353,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
