Age,SD_probability_mean,SD_probability_error
-15.382278,2.84012930526648e-06,1.578251745816841e-09
-15.358228,2.8989736214217403e-06,1.6066972854029201e-09
-15.334177,3.752787260494242e-06,2.010892594008094e-09
-15.310127,4.081849735820003e-06,2.1629165944958678e-09
-15.286076,0.1583951345358771,6.093097994926456e-05
-15.262025,0.9246882045942676,5.262026272290391e-05
-15.237975,0.9999999952568928,1.2669273050688728e-11
-15.213924,0.9999999958888596,1.1026644965012039e-11
-15.189873,0.9999999958207446,1.1204030479054776e-11
-15.165823,0.9999999957802792,1.1309372574329612e-11
-15.141772,0.9999998636761598,3.288367238916842e-10
-15.117722,0.9999980853477676,4.230695671396683e-09
-15.093671,0.9999999634741772,9.181020657607411e-11
-15.06962,0.9999999865398204,3.486936208503672e-11
-15.04557,0.9999999903314312,2.529387349447025e-11
-15.021519,0.9999999838883544,4.151460664435526e-11
-14.997468,0.9999999621628556,9.5003449847016e-11
-14.973418,0.99999982795262,4.1192948638445775e-10
-14.949367,0.9999993636521828,1.4597123454359402e-09
-14.925316,0.9999998071731988,4.599913938037966e-10
-14.901266,0.9999999863183172,3.5425948838911986e-11
-14.877215,0.9999999888296914,2.9098076374830367e-11
-14.853165,0.9999999908657272,2.393619010600456e-11
-14.829114,0.999999990869978,2.3925378006709487e-11
-14.805063,0.9999999125488012,2.13934330918122e-10
-14.781013,0.9999999850920978,3.850225752581868e-11
-14.756962,0.9999999727505772,6.910874701174051e-11
-14.732911,0.9999999903878708,2.5150568275634927e-11
-14.708861,0.999999990347388,2.525335854918844e-11
-14.68481,0.9999999737772184,6.658267295190957e-11
-14.660759,0.9999999679919374,8.078023010622914e-11
-14.636709,0.9999987386781634,2.827284812778205e-09
-14.612658,0.9999995949595296,9.431475905394564e-10
-14.588608,0.9999999878458208,3.158182766897365e-11
-14.564557,0.9999999902852827,2.541103201337312e-11
-14.540506,0.9999999884107232,3.015653237975513e-11
-14.516456,0.9999999885998676,2.967883542359829e-11
-14.492405,0.9999984619315982,3.424302563835718e-09
-14.468354,0.9999990068721328,2.244279226459149e-09
